"language","setCode","cardId","defaultVariantId","collectorNumber","variants","approvedFacePresent","beforePreferredBlank","afterPreferredBlank","presentation","sourceVariantId","assetId"
"zh-cn","cs6ac","d002fce7-6c3d-43c5-a577-d5d7d13e2df8","c39bdc2f-5ebd-457c-ab0c-83b35b285968","161","1","true","false","false","exact","c39bdc2f-5ebd-457c-ab0c-83b35b285968","4f79cad0-c632-4efb-bfab-d3d537ae633b"
"zh-cn","cs6ac","b7ed1b7b-3574-4e34-80ae-24dcc4c966d5","f7ad245b-93e2-46bd-a2bb-7c4c4abecc45","162","1","true","false","false","exact","f7ad245b-93e2-46bd-a2bb-7c4c4abecc45","e9be65c2-5643-4d8c-a863-4c9edf636b82"
"zh-cn","cs6ac","4b4874ae-3464-497b-9b35-c827084e963f","f034ead0-2052-4dc8-a8f3-b1839cbbe123","165","1","true","false","false","exact","f034ead0-2052-4dc8-a8f3-b1839cbbe123","e53fe460-e1d4-4214-881f-a5d6151308a6"
"zh-cn","cs6ac","a7830c04-52c1-42e6-92bb-b3e285627f98","fab88002-0689-46a4-92f1-0043168722d2","169","1","true","false","false","exact","fab88002-0689-46a4-92f1-0043168722d2","65c77671-118f-460c-b0eb-f7c1281cb382"
"zh-cn","151c","15c88288-3b6e-44b0-9341-345098c7bbb8","1173cf4d-9da5-4f72-94f9-22294b5ef63c","004","3","true","false","false","exact","1173cf4d-9da5-4f72-94f9-22294b5ef63c","849b9693-1b82-4020-be42-c392147bc178"
"zh-cn","151c","8badea8a-084f-485c-a220-7a9f9828d68b","07cb8879-9073-46e8-af6e-3093915615b2","005","3","true","false","false","exact","07cb8879-9073-46e8-af6e-3093915615b2","a2dc3df4-7005-4adb-b66b-aeffcd7480a1"
"zh-cn","151c","238a46ac-7ea4-4f14-b4e4-a11484c0c925","02c075af-7f29-41d1-afc7-125d211bff94","007","3","true","false","false","exact","02c075af-7f29-41d1-afc7-125d211bff94","6eed153f-4dbc-470c-9109-7e3a0c03a3b0"
"zh-cn","151c","09253afc-a746-4f97-b227-09a477af9759","09fc68d3-df59-4368-af9b-7528ac9cde4d","012","3","true","false","false","exact","09fc68d3-df59-4368-af9b-7528ac9cde4d","92e3718a-cf9d-44ef-92dd-499288f75901"
"zh-cn","151c","670f8bd6-e240-4d8f-9c08-5dd03bcc3dc8","1fabb7db-015f-48d5-91ad-4637152fceb9","015","3","true","false","false","exact","1fabb7db-015f-48d5-91ad-4637152fceb9","5bed0b3c-d4aa-4b64-8abd-1df25606039c"
"zh-cn","151c","599054cd-a897-4810-a498-0d862c262f9b","1aac6685-eaf6-4fd0-a08d-2c8cb305b4ad","016","3","true","false","false","exact","1aac6685-eaf6-4fd0-a08d-2c8cb305b4ad","5ff59942-c7f4-43f1-96a6-ceae58c00746"
"zh-cn","151c","223d1d98-a704-4124-a39d-be08818db439","0af623ff-d989-44ed-a8ea-e0a7920f6d89","017","3","true","false","false","exact","0af623ff-d989-44ed-a8ea-e0a7920f6d89","027357af-205a-407a-b2be-6b08827672cc"
"zh-cn","151c","9b203358-aa8e-4943-b9f9-b013f3e5e1fc","06f4a535-ecd2-4da4-be37-77ad4016475b","018","3","true","false","false","exact","06f4a535-ecd2-4da4-be37-77ad4016475b","9c506399-cc96-4dbf-9ae9-09e0a2d8b406"
"zh-cn","151c","3a94ae94-c11b-471d-adf8-dc65a3733bd1","0da202d6-8fd4-426a-bc84-d4d71a6c1600","019","3","true","false","false","exact","0da202d6-8fd4-426a-bc84-d4d71a6c1600","c8cbd087-7428-408e-89a6-a4c43b5af81e"
"zh-cn","151c","ce5ae39f-0c6b-42e4-91c1-07fe634721bd","153ea523-aa64-456d-a9b5-50245e8cba8e","020","3","true","false","false","exact","153ea523-aa64-456d-a9b5-50245e8cba8e","927a3b02-4f9a-4ff3-8a42-cd33a0219c3d"
"zh-cn","151c","be863d6e-b6f1-467d-be54-172d3b8e6338","16738859-c361-4e66-91d0-66ad3a430577","021","3","true","false","false","exact","16738859-c361-4e66-91d0-66ad3a430577","82b09221-3527-4ca0-a067-779cd23600ee"
"zh-cn","151c","6b1a6bf0-ea4b-421d-86e5-c46a7d3a9a5a","25129149-e256-4be0-97b5-677c1138f14e","023","3","true","false","false","exact","25129149-e256-4be0-97b5-677c1138f14e","9f02e483-22df-4065-8711-4472c2223163"
"zh-cn","151c","c00c307a-3233-42cd-9496-5630b9c06045","27e66d60-1a5d-4bdc-a4f0-170b4ec3036b","025","3","true","false","false","exact","27e66d60-1a5d-4bdc-a4f0-170b4ec3036b","42ccaf0e-ae27-4433-b266-7388d1775d33"
"zh-cn","151c","05a523d6-cbdc-46b8-b924-b0f260c46c39","10ad98b0-80d5-4f37-ac7d-6c86fd92dd43","028","3","true","false","false","exact","10ad98b0-80d5-4f37-ac7d-6c86fd92dd43","be3dbbad-f393-410d-b5f6-f55f4353812f"
"zh-cn","151c","adf36dbc-08e4-4d79-b963-1d56b78199e4","1b032f36-468d-408a-a571-3cb426380af0","032","3","true","false","false","exact","1b032f36-468d-408a-a571-3cb426380af0","bef0f6a2-9d43-497d-b2b3-1856d4e5d984"
"zh-cn","151c","a6791a36-7cad-45ad-82e0-925794d0b953","11aca287-f745-465f-88f2-6e32931137f1","033","3","true","false","false","exact","11aca287-f745-465f-88f2-6e32931137f1","c31606ef-015c-455e-bd57-683db6e248bf"
"zh-cn","151c","f95ddf86-e318-403b-964b-bd6d1ed267b1","188ae4dd-4afb-4b88-84ac-7f6e48603921","034","3","true","false","false","exact","188ae4dd-4afb-4b88-84ac-7f6e48603921","f25c773f-0782-493c-809a-95d6a8d13d02"
"zh-cn","151c","f8be8f2c-cc9d-4519-b5b6-533629326d70","0768875c-d1e3-4f03-9ab1-2a1f5b3c6bf5","035","3","true","false","false","exact","0768875c-d1e3-4f03-9ab1-2a1f5b3c6bf5","df023e70-a10d-4007-a865-ae3c626e941a"
